TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
3	Task12CP	5	Task12CPC08	Rectangle	4	P0:(1261;553) P1:(2004;553) P2:(2004;592) P3:(1261;592)
3	Task12CP	6	Task12CPL09	Rectangle	4	P0:(616;603) P1:(984;603) P2:(984;643) P3:(616;643)
3	Task12CP	6	Task12CPC10	Rectangle	4	P0:(1006;603) P1:(1434;603) P2:(1434;642) P3:(1006;642)
3	Task12CP	7	Task12CPL11	Rectangle	4	P0:(616;653) P1:(984;653) P2:(984;693) P3:(616;693)
3	Task12CP	8	Task12CPL12	Rectangle	4	P0:(616;702) P1:(1299;702) P2:(1299;742) P3:(616;742)
3	Task12CP	8	Task12CPC13	Rectangle	4	P0:(1321;702) P1:(1914;702) P2:(1914;741) P3:(1321;741)
3	Task12CP	9	Task12CPL14	Rectangle	4	P0:(556;752) P1:(579;752) P2:(579;791) P3:(556;791)
3	Task12CP	10	Task12CPL15	Rectangle	4	P0:(556;851) P1:(1164;851) P2:(1164;891) P3:(556;891)
3	Task12CP	11	Task12CPL16	Rectangle	4	P0:(616;901) P1:(999;901) P2:(999;941) P3:(616;941)
3	Task12CP	12	Task12CPL17	Rectangle	4	P0:(616;950) P1:(999;950) P2:(999;990) P3:(616;990)
3	Task12CP	13	Task12CPL18	Rectangle	4	P0:(616;1000) P1:(1254;1000) P2:(1254;1040) P3:(616;1040)
3	Task12CP	14	Task12CPL19	Rectangle	4	P0:(616;1049) P1:(1029;1049) P2:(1029;1089) P3:(616;1089)
3	Task12CP	15	Task12CPL20	Rectangle	4	P0:(556;1099) P1:(579;1099) P2:(579;1138) P3:(556;1138)
4	Task9CP	0	Task9CPL00	Rectangle	4	P0:(473;257) P1:(1201;257) P2:(1201;297) P3:(473;297)
4	Task9CP	1	Task9CPL01	Rectangle	4	P0:(533;307) P1:(1156;307) P2:(1156;347) P3:(533;347)
4	Task9CP	1	Task9CPC02	Rectangle	4	P0:(1223;307) P1:(2086;307) P2:(2086;346) P3:(1223;346)
4	Task9CP	2	Task9CPL03	Rectangle	4	P0:(533;357) P1:(1171;357) P2:(1171;397) P3:(533;397)
4	Task9CP	2	Task9CPC04	Rectangle	4	P0:(1223;357) P1:(1651;357) P2:(1651;393) P3:(1223;393)
4	Task9CP	3	Task9CPL05	Rectangle	4	P0:(533;406) P1:(1141;406) P2:(1141;446) P3:(533;446)
4	Task9CP	4	Task9CPL06	Rectangle	4	P0:(593;456) P1:(871;456) P2:(871;496) P3:(593;496)
4	Task9CP	4	Task9CPC07	Rectangle	4	P0:(1223;456) P1:(1921;456) P2:(1921;492) P3:(1223;492)
