TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
4	Task1CP	1	Task1CPC02	Rectangle	4	P0:(1006;307) P1:(1734;307) P2:(1734;346) P3:(1006;346)
4	Task1CP	2	Task1CPL03	Rectangle	4	P0:(481;357) P1:(924;357) P2:(924;397) P3:(481;397)
4	Task1CP	2	Task1CPC04	Rectangle	4	P0:(1006;357) P1:(1749;357) P2:(1749;396) P3:(1006;396)
4	Task1CP	3	Task1CPL05	Rectangle	4	P0:(481;406) P1:(819;406) P2:(819;446) P3:(481;446)
4	Task1CP	4	Task1CPL06	Rectangle	4	P0:(541;456) P1:(1089;456) P2:(1089;496) P3:(541;496)
4	Task1CP	4	Task1CPC07	Rectangle	4	P0:(1141;456) P1:(1809;456) P2:(1809;492) P3:(1141;492)
4	Task1CP	5	Task1CPL08	Rectangle	4	P0:(541;505) P1:(1059;505) P2:(1059;545) P3:(541;545)
4	Task1CP	5	Task1CPC09	Rectangle	4	P0:(1141;505) P1:(2139;505) P2:(2139;545) P3:(1141;545)
4	Task1CP	6	Task1CPL10	Rectangle	4	P0:(601;555) P1:(834;555) P2:(834;595) P3:(601;595)
4	Task1CP	6	Task1CPC11	Rectangle	4	P0:(1141;555) P1:(1794;555) P2:(1794;594) P3:(1141;594)
4	Task1CP	7	Task1CPL12	Rectangle	4	P0:(541;605) P1:(669;605) P2:(669;644) P3:(541;644)
4	Task1CP	8	Task1CPL13	Rectangle	4	P0:(601;654) P1:(789;654) P2:(789;694) P3:(601;694)
4	Task1CP	8	Task1CPC14	Rectangle	4	P0:(1141;654) P1:(1644;654) P2:(1644;693) P3:(1141;693)
4	Task1CP	9	Task1CPL15	Rectangle	4	P0:(541;704) P1:(564;704) P2:(564;743) P3:(541;743)
4	Task1CP	10	Task1CPL16	Rectangle	4	P0:(481;753) P1:(504;753) P2:(504;792) P3:(481;792)
4	Task1CP	11	Task1CPL17	Rectangle	4	P0:(481;803) P1:(669;803) P2:(669;843) P3:(481;843)
