Participant,Task,Type,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
9a43cae5,Task3CP,CP,546,167.99,327,81.81,0.6,0.49,247,54.54,0.76,0.67,80,27.27,0.24,0.33
66310afd,Task3CP,CP,758,347.61,539,269.46,0.71,0.78,329,191.19,0.61,0.71,210,78.27,0.39,0.29
615db7bf,Task4CM,CM,666,246.75,435,156.85,0.65,0.64,435,156.85,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task4CM,CM,233,87.82,170,68.92,0.73,0.78,170,68.92,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task4CM,CM,738,234.32,456,153.31,0.62,0.65,456,153.31,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task4CM,CM,696,159.57,457,98.62,0.66,0.62,457,98.62,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task4CM,CM,580,261.3,371,159.42,0.64,0.61,371,159.42,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task4CM,CM,470,122.0,298,74.96,0.63,0.61,298,74.96,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task4CM,CM,156,42.1,113,33.06,0.72,0.79,113,33.06,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task4CM,CM,256,118.98,188,87.69,0.73,0.74,188,87.69,1.0,1.0,0,0.0,0.0,0.0
782b7c64,Task4CM,CM,769,222.71,507,150.57,0.66,0.68,507,150.57,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task4CM,CM,406,110.96,223,61.71,0.55,0.56,223,61.71,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task4CP,CP,402,58.31,234,30.15,0.58,0.52,177,20.27,0.76,0.67,57,9.88,0.24,0.33
9679a6e6,Task4CP,CP,318,108.72,201,77.26,0.63,0.71,177,68.91,0.88,0.89,24,8.34,0.12,0.11
625d844e,Task4CP,CP,862,160.15,489,94.95,0.57,0.59,382,78.84,0.78,0.83,107,16.11,0.22,0.17
1de0f518,Task4CP,CP,962,309.97,579,196.35,0.6,0.63,560,193.8,0.97,0.99,19,2.54,0.03,0.01
1d1071e4,Task4CP,CP,1060,239.36,679,164.59,0.64,0.69,583,149.61,0.86,0.91,96,14.97,0.14,0.09
cb039d67,Task4CP,CP,743,178.1,440,96.85,0.59,0.54,359,82.23,0.82,0.85,81,14.62,0.18,0.15
5e4ae544,Task4CP,CP,474,144.28,248,75.05,0.52,0.52,180,60.84,0.73,0.81,68,14.21,0.27,0.19
dfab1ede,Task4CP,CP,787,215.64,442,137.44,0.56,0.64,391,126.42,0.88,0.92,51,11.02,0.12,0.08
9a43cae5,Task4CP,CP,958,246.08,599,162.4,0.63,0.66,548,146.72,0.91,0.9,51,15.69,0.09,0.1
66310afd,Task4CP,CP,795,253.89,585,198.86,0.74,0.78,457,171.33,0.78,0.86,128,27.53,0.22,0.14
615db7bf,Task5CM,CM,362,180.22,275,143.06,0.76,0.79,275,143.06,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task5CM,CM,913,221.52,655,174.2,0.72,0.79,655,174.2,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task5CM,CM,1477,545.28,1068,437.66,0.72,0.8,1068,437.66,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task5CM,CM,903,179.73,672,134.47,0.74,0.75,672,134.47,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task5CM,CM,437,239.62,314,200.7,0.72,0.84,314,200.7,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task5CM,CM,1044,217.35,760,170.58,0.73,0.78,760,170.58,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task5CM,CM,466,113.44,341,84.08,0.73,0.74,341,84.08,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task5CM,CM,168,65.51,119,48.9,0.71,0.75,119,48.9,1.0,1.0,0,0.0,0.0,0.0
